instancia;periodo;sessoes;novas-sessoes;novos-usuarios;taxa-rejeicao;paginas-sessao;tempo-medio-sessao;visualizacoes-paginas;visualizacoes-unicas;tempo-medio-pagina;entradas;porcentagem-saida;total-eventos;eventos-exclusivos;sessoes-com-evento
dados.mg;202206;4.041;84,83%;3.428;47,24%;3,29;00:01:32;13.307;10.930;00:00:40;4.041;30,37%;510;438;278
dados.mg;202205;4.829;84,55%;4.083;45,87%;3,5;00:01:49;16.908;13.818;00:00:44;4.824;28,53%;903;762;359
dados.mg;202304;4.310;85,82%;3.699;47,59%;3,17;00:01:34;13.649;11.369;00:00:43;4.304;31,53%;687;558;312
dados.mg;202303;4.821;85,58%;4.126;46,11%;3,32;00:01:33;15.987;13.149;00:00:40;4.815;30,12%;879;768;399
dados.mg;202302;3.463;86,05%;2.980;45,97%;3,23;00:01:40;11.199;9.232;00:00:45;3.462;30,91%;449;375;233
dados.mg;202301;3.569;87,78%;3.133;46,43%;3,25;00:01:26;11.596;9.477;00:00:38;3.567;30,76%;509;450;252
dados.mg;2023_1;16.163;86,23%;13.938;46,54%;3,24;00:01:33;52.431;43.227;00:00:41;16.148;30,80%;2.524;2.151;1.196
dados.mg;2022_3;13.015;85,28%;11.099;44,98%;3,35;00:01:39;43.655;35.363;00:00:42;13.005;29,79%;1.954;1.615;832
dados.mg;2022_2;11.344;87,91%;9.972;42,22%;3,66;00:01:42;59.012;46.103;00:00:41;16.563;28,07%;2.302;1.984;1.232
dados.mg;2022_1;7.578;86,45%;6.551;42,37%;3,67;00:01:43;49.585;37.623;00:00:42;13.873;27,98%;2.333;1.954;1.117
dados.mg;2022;43.471;85,23%;37.052;45,28%;3,5;00:01:45;152.252;119.089;00:00:42;43.441;28,53%;6.589;5.553;3.181
dados.mg;2021_3;10.807;85,63%;9.254;48,09%;3,37;00:01:47;36.415;27.077;00:00:45;10.795;29,64%;1.582;1.330;773
dados.mg;2021_2;12.739;83,65%;10.656;45,72%;3,78;00:01:58;48.114;34.301;00:00:43;12.734;26,47%;2.096;1.774;1.065
dados.mg;2021_1;12.102;84,94%;10.279;51,09%;3,14;00:01:29;38.050;27.878;00:00:42;12.098;31,80%;822;737;570
dados.mg;2021;35.648;84,69%;30.189;48,26%;3,44;00:01:45;122.579;89.256;00:00:43;35.627;29,06%;4.500;3.841;2.408
dados.mg;2020_3;9.979;80,98%;8.081;50,81%;3,17;00:01:34;31.678;22.488;00:00:43;9.974;31,49%;586;492;329